,ATAC-seq,DNase-seq,H2AFZ,H2AK5ac,H2AK9ac,H2BK120ac,H2BK12ac,H2BK15ac,H2BK20ac,H2BK5ac,H3F3A,H3K14ac,H3K18ac,H3K23ac,H3K23me2,H3K27ac,H3K27me3,H3K36me3,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K56ac,H3K79me1,H3K79me2,H3K9ac,H3K9me1,H3K9me2,H3K9me3,H3T11ph,H4K12ac,H4K20me1,H4K5ac,H4K8ac,H4K91ac
H3K4me2,0,5,5,3,1,4,3,3,2,5,1,2,3,3,1,6,5,9,3,7,11,8,2,3,5,6,2,1,6,0,0,2,2,3,5
H3K4me3,1,17,8,4,1,5,4,3,2,4,1,4,5,3,2,20,20,24,5,19,8,38,3,5,6,10,2,1,18,1,1,3,3,5,4
H3K56ac,0,3,2,1,1,2,1,2,2,2,0,2,3,1,2,3,3,3,2,3,2,3,3,3,2,2,1,0,2,1,0,1,3,2,2
H3K79me1,0,5,4,3,1,4,3,2,2,3,0,3,6,2,2,5,5,4,4,4,3,5,3,6,3,5,1,0,4,1,1,1,3,4,3
H3K79me2,0,3,5,2,1,3,2,2,2,2,0,2,3,1,1,5,6,5,2,6,5,6,2,3,9,3,1,1,4,0,1,2,2,2,2
H3K9ac,0,5,8,2,0,3,4,1,1,2,1,2,5,1,2,7,8,9,3,9,6,10,2,5,3,14,1,0,8,1,1,1,2,5,2
H3K9me1,0,2,1,1,1,1,0,1,1,1,0,1,1,1,0,2,1,2,1,2,2,2,1,1,1,1,2,0,2,0,0,2,1,0,1
H3K9me2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0
H3K9me3,5,11,5,5,1,4,3,2,1,3,0,4,4,3,1,18,19,21,6,20,6,18,2,4,4,8,2,1,29,1,1,3,2,4,3
H3T11ph,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0
H4K12ac,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0
H4K20me1,0,3,2,2,1,1,0,1,1,1,0,1,1,1,0,4,2,3,2,3,2,3,1,1,2,1,2,0,3,0,0,6,1,0,1
H4K5ac,0,3,2,1,1,2,1,2,2,2,0,2,3,1,2,3,3,3,2,3,2,3,3,3,2,2,1,0,2,1,0,1,3,2,2
H4K8ac,0,5,4,3,0,4,5,2,1,3,0,3,4,2,2,5,5,4,4,4,3,5,2,4,2,5,0,0,4,1,1,0,2,6,3
H4K91ac,0,4,1,3,1,4,3,3,2,5,0,2,3,3,1,4,4,5,3,3,5,4,2,3,2,2,1,0,3,0,0,1,2,3,5
