,ATAC-seq,DNase-seq,H2AFZ,H2AK5ac,H2AK9ac,H2BK120ac,H2BK12ac,H2BK15ac,H2BK20ac,H2BK5ac,H3F3A,H3K14ac,H3K18ac,H3K23ac,H3K23me2,H3K27ac,H3K27me3,H3K36me3,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K56ac,H3K79me1,H3K79me2,H3K9ac,H3K9me1,H3K9me2,H3K9me3,H3T11ph,H4K12ac,H4K20me1,H4K5ac,H4K8ac,H4K91ac
H3F3A,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H3K14ac,0.0,0.8,0.4,0.6,0.2,0.6,0.4,0.6,0.2,0.4,0.0,1.0,0.6,0.4,0.2,0.8,0.8,0.6,0.8,1.0,0.4,0.8,0.4,0.6,0.4,0.4,0.2,0.0,0.8,0.2,0.2,0.2,0.4,0.6,0.4
H3K18ac,0.0,0.8333333333333334,0.6666666666666666,0.5,0.16666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.5,1.0,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.8333333333333334,0.5,1.0,0.5,0.8333333333333334,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.6666666666666666,0.5
H3K23ac,0.0,1.0,0.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
H3K23me2,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0,0.5
H3K27ac,0.09375,0.375,0.1875,0.125,0.03125,0.15625,0.125,0.09375,0.0625,0.125,0.0,0.125,0.15625,0.09375,0.0625,1.0,0.5625,0.59375,0.15625,0.53125,0.1875,0.625,0.09375,0.15625,0.15625,0.21875,0.0625,0.03125,0.5625,0.03125,0.03125,0.125,0.09375,0.15625,0.125
H3K27me3,0.07142857142857142,0.32142857142857145,0.17857142857142858,0.14285714285714285,0.03571428571428571,0.17857142857142858,0.14285714285714285,0.10714285714285714,0.07142857142857142,0.14285714285714285,0.0,0.14285714285714285,0.17857142857142858,0.10714285714285714,0.07142857142857142,0.6428571428571429,1.0,0.7857142857142857,0.17857142857142858,0.6428571428571429,0.17857142857142858,0.7142857142857143,0.10714285714285714,0.17857142857142858,0.21428571428571427,0.2857142857142857,0.03571428571428571,0.0,0.6785714285714286,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.10714285714285714,0.17857142857142858,0.14285714285714285
H3K36me3,0.09090909090909091,0.36363636363636365,0.21212121212121213,0.09090909090909091,0.030303030303030304,0.12121212121212122,0.09090909090909091,0.09090909090909091,0.06060606060606061,0.15151515151515152,0.030303030303030304,0.09090909090909091,0.12121212121212122,0.09090909090909091,0.06060606060606061,0.5757575757575758,0.6666666666666666,1.0,0.12121212121212122,0.6666666666666666,0.2727272727272727,0.7272727272727273,0.09090909090909091,0.12121212121212122,0.15151515151515152,0.2727272727272727,0.06060606060606061,0.030303030303030304,0.6363636363636364,0.030303030303030304,0.0,0.09090909090909091,0.09090909090909091,0.12121212121212122,0.15151515151515152
H3K4ac,0.0,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.0,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.6666666666666666,1.0,0.6666666666666666,0.5,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.0,1.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5
H3K4me1,0.10714285714285714,0.32142857142857145,0.2857142857142857,0.10714285714285714,0.03571428571428571,0.14285714285714285,0.10714285714285714,0.14285714285714285,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.17857142857142858,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.6071428571428571,0.6428571428571429,0.7857142857142857,0.14285714285714285,1.0,0.25,0.6785714285714286,0.10714285714285714,0.14285714285714285,0.21428571428571427,0.32142857142857145,0.07142857142857142,0.03571428571428571,0.7142857142857143,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.10714285714285714,0.14285714285714285,0.10714285714285714
H3K4me2,0.0,0.45454545454545453,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.45454545454545453,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.5454545454545454,0.45454545454545453,0.8181818181818182,0.2727272727272727,0.6363636363636364,1.0,0.7272727272727273,0.18181818181818182,0.2727272727272727,0.45454545454545453,0.5454545454545454,0.18181818181818182,0.09090909090909091,0.5454545454545454,0.0,0.0,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.45454545454545453
H3K4me3,0.02631578947368421,0.4473684210526316,0.21052631578947367,0.10526315789473684,0.02631578947368421,0.13157894736842105,0.10526315789473684,0.07894736842105263,0.05263157894736842,0.10526315789473684,0.02631578947368421,0.10526315789473684,0.13157894736842105,0.07894736842105263,0.05263157894736842,0.5263157894736842,0.5263157894736842,0.631578947368421,0.13157894736842105,0.5,0.21052631578947367,1.0,0.07894736842105263,0.13157894736842105,0.15789473684210525,0.2631578947368421,0.05263157894736842,0.02631578947368421,0.47368421052631576,0.02631578947368421,0.02631578947368421,0.07894736842105263,0.07894736842105263,0.13157894736842105,0.10526315789473684
H3K56ac,0.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666
H3K79me1,0.0,0.8333333333333334,0.6666666666666666,0.5,0.16666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.5,1.0,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.8333333333333334,0.5,1.0,0.5,0.8333333333333334,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.6666666666666666,0.5
H3K79me2,0.0,0.3333333333333333,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.2222222222222222,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.2222222222222222,0.3333333333333333,1.0,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
H3K9ac,0.0,0.35714285714285715,0.5714285714285714,0.14285714285714285,0.0,0.21428571428571427,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.35714285714285715,0.07142857142857142,0.14285714285714285,0.5,0.5714285714285714,0.6428571428571429,0.21428571428571427,0.6428571428571429,0.42857142857142855,0.7142857142857143,0.14285714285714285,0.35714285714285715,0.21428571428571427,1.0,0.07142857142857142,0.0,0.5714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.35714285714285715,0.14285714285714285
H3K9me1,0.0,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.0,0.5
H3K9me2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
H3K9me3,0.1724137931034483,0.3793103448275862,0.1724137931034483,0.1724137931034483,0.034482758620689655,0.13793103448275862,0.10344827586206896,0.06896551724137931,0.034482758620689655,0.10344827586206896,0.0,0.13793103448275862,0.13793103448275862,0.10344827586206896,0.034482758620689655,0.6206896551724138,0.6551724137931034,0.7241379310344828,0.20689655172413793,0.6896551724137931,0.20689655172413793,0.6206896551724138,0.06896551724137931,0.13793103448275862,0.13793103448275862,0.27586206896551724,0.06896551724137931,0.034482758620689655,1.0,0.034482758620689655,0.034482758620689655,0.10344827586206896,0.06896551724137931,0.13793103448275862,0.10344827586206896
H3T11ph,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
H4K12ac,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
H4K20me1,0.0,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.5,0.0,0.0,1.0,0.16666666666666666,0.0,0.16666666666666666
H4K5ac,0.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666
H4K8ac,0.0,0.8333333333333334,0.6666666666666666,0.5,0.0,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.5,0.0,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.0,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,1.0,0.5
H4K91ac,0.0,0.8,0.2,0.6,0.2,0.8,0.6,0.6,0.4,1.0,0.0,0.4,0.6,0.6,0.2,0.8,0.8,1.0,0.6,0.6,1.0,0.8,0.4,0.6,0.4,0.4,0.2,0.0,0.6,0.0,0.0,0.2,0.4,0.6,1.0
